id,label,mode,PosRMSE_N,PosRMSE_E,PosRMSE_D,VelRMSE_N,VelRMSE_E,VelRMSE_D,AttRMSE_Roll,AttRMSE_Pitch,AttRMSE_Yaw,PosMax_N,PosMax_E,PosMax_D,VelMax_N,VelMax_E,VelMax_D,AttMax_Roll,AttMax_Pitch,AttMax_Yaw,FinalGyroBias_X,FinalGyroBias_Y,FinalGyroBias_Z,FinalAccelBias_X,FinalAccelBias_Y,FinalAccelBias_Z
BASE,"기본 P/Q · 고정 R · K 제한 없음",fixed_no_clamp,3.0230691016993,5.60691605773478,1.57575634755992,0.563985000255819,1.00179771181685,0.067423427272271,0.431888131443448,0.650864330455639,52.0572213601774,6.66736390099793,12.2990933108649,8.44228718013457,1.27424368361994,2.19845002441979,0.221499406305884,1.10845353794963,1.42487666170089,102.309874882103,0.000106387679434816,0.000146211727810118,0.000155302009085941,0.00657074743277508,-0.0767444949836077,0.0043128588352688
P1_all_x10,"P Case 1: P 전체 ×10",fixed_no_clamp,3.28298791024595,5.425442632493,1.57716537291093,0.615718745636937,0.966295292889509,0.0680233841284837,0.437637646976937,0.645567781604806,55.20230119974,6.78896785982312,11.8904450349788,8.44424352135197,1.4735831259282,2.12917478619621,0.229583924578151,1.12016410767053,1.40799166566774,105.222517743761,0.00010557562586599,0.000140040526786962,0.000110093025734602,0.00441398075763744,-0.076757308266133,0.00428373139323134
P2_all_x0p1,"P Case 2: P 전체 ×0.1",fixed_no_clamp,3.18130401389681,5.30215220454934,1.57529220516017,0.563122727104229,0.945814097373771,0.0682543839065631,0.428980772904294,0.599899416366301,32.2589950986712,7.1124371403989,11.5496432420849,8.43911130578575,1.227803043175,2.04793199336281,0.221085637157326,1.12352285162591,1.30835137359279,69.4800284315435,9.66445625889467e-05,0.000151082943683117,8.85231930598501e-05,0.00463915103552437,-0.0729690009112629,0.00436706565701117
P3_gyro_bias_x0p1,"P Case 3: 자이로 바이어스 P ×0.1",fixed_no_clamp,3.14892076513148,5.23226095367422,1.57710806375356,0.559235674833237,0.933320883569382,0.0686138881031711,0.433362243597359,0.593409600842906,30.84992241165,7.22645862100592,11.2022711026743,8.44070999909161,1.25325942355968,1.99436004641323,0.221258093074018,1.1242583578313,1.29261794658158,67.7728128493702,0.000108375063910793,0.000153907476376509,-0.000336622274047656,0.00446009658119912,-0.0767847648248674,0.00433510972897076
P4_gyro_bias_x0p01,"P Case 4: 자이로 바이어스 P ×0.01",fixed_no_clamp,3.97745758137473,4.33592439761607,1.57828270336576,0.716226028283615,0.756895540086706,0.0697112437723309,0.436040424253206,0.545034232545449,15.2087987441261,9.36778055430374,9.01599538252001,8.43976704989532,1.64188148822345,1.4178594329835,0.221174908532031,1.15372741039026,1.16404898662286,37.7330590285569,9.96567636189259e-05,0.000155370840462866,-0.000383036814422285,0.00441379807534171,-0.0747466818358231,0.00440480340704566
P5_gyro_z_bias_x0p1,"P Case 5: Z 자이로 바이어스 P ×0.1",fixed_no_clamp,3.14600517998924,5.23970225276462,1.57737371743829,0.558610319917554,0.934643842764019,0.0686168591744185,0.432726548643171,0.595082480776905,30.7877190246767,7.23032734115992,11.2228150675112,8.44146791133867,1.25357517514178,1.99765098213821,0.221351503310115,1.12247291422242,1.2949907258466,67.7779860165849,0.000107557527452161,0.000153111842529619,-0.000297804884142723,0.00453790990826042,-0.0768854621114552,0.0043423842640972
P6_gyro_z_bias_x0p01,"P Case 6: Z 자이로 바이어스 P ×0.01",fixed_no_clamp,4.01184256708461,4.29418305407517,1.57882400657125,0.723397045868886,0.748411011010899,0.0697654385740252,0.434277905736266,0.545415675267946,13.37919743909,9.67774266065776,8.98447883535093,8.44132262294051,1.69823810828151,1.41262243985375,0.22132622642296,1.14987934657307,1.16310743429316,34.6003298730509,9.8955056143292e-05,0.000154370652220038,-0.000368341936978048,0.00444217903773805,-0.0747616790364864,0.00442147530211147
P7_yaw_x0p1,"P Case 7: Yaw P ×0.1",fixed_no_clamp,3.15948581951317,5.62022223418824,1.57449276129656,0.588410432915673,1.00277645384972,0.0671230591664831,0.424127352513674,0.65995931452859,53.7129258058364,6.75846635820015,12.5875764400051,8.44198033788823,1.27631590969266,2.22678115676176,0.221459046144694,1.10739088147589,1.44881969054201,105.496709287123,9.06641492805816e-05,0.000143962115398214,0.000787530482302993,0.00821090129635698,-0.0732752896153059,0.0043838276214814
P8_yaw_x10,"P Case 8: Yaw P ×10",fixed_no_clamp,2.95369772916811,5.61427044608885,1.575876591026,0.550193684422584,1.00303780314836,0.0675218881742519,0.433430792699899,0.645591556736218,50.8960857183136,6.68281371842593,12.3091857240082,8.44169598380969,1.26588070846603,2.20438275494405,0.221395583291418,1.11223719000202,1.41160780506464,100.341144052359,0.000106172863626103,0.000144565775537807,6.68098808377119e-05,0.00451688969854841,-0.0771860371048654,0.00427792889852654
Q1_all_x10,"Q Case 1: Q 전체 ×10",fixed_no_clamp,0.848462339533362,1.80542597420633,1.60826038628548,0.261953848897649,0.290550586439968,0.0730985312134104,0.386120736051726,0.513942163756471,19.4572104057535,2.54840265134766,10.1853554179561,8.66233563264747,0.554305941176658,0.547080176470021,0.259976307021274,1.02262645796877,1.11673421985948,43.1433172194353,8.20647045970058e-05,0.000143271282251567,-5.394807306035e-05,-0.00477811165680023,-0.0653525189790051,0.00430320738588287
Q2_all_x0p1,"Q Case 2: Q 전체 ×0.1",fixed_no_clamp,17.7478313809325,20.6216176544279,2.41074433649747,1.84593922818406,2.10277072667069,0.113173988547131,0.523880200188301,0.802945916707021,64.0671653827385,34.4377374786119,46.526206188393,6.91265239713451,3.47903644425318,4.57467170531484,0.287526344336926,1.32012716799187,1.73915176488455,120.262550664639,0.000117918204102693,0.000148313288829321,0.000212985242333637,0.0126450176583543,-0.0896239402122356,0.00429707228698727
Q3_acc_all_x10,"Q Case 3: 가속도 Q 전체 ×10",fixed_no_clamp,1.53268674132064,2.32595723298896,1.60121450971587,0.559502903146186,0.578882715344608,0.0669036575602904,0.627979306437249,1.13936740439767,69.973381873974,3.94194549120677,10.1321910386711,8.66226136283934,1.52803421111958,1.23472350858213,0.2599499045572,1.48485632254685,2.70708414776977,161.106032837898,4.77772005401112e-05,0.000114451650550192,0.00315729539457155,0.0492294979615672,-0.133900814592361,0.00370631369055878
Q4_acc_all_x0p1,"Q Case 4: 가속도 Q 전체 ×0.1",fixed_no_clamp,5.3435517891593,7.29838911903954,2.3242904080827,0.719735178171298,0.967827879608269,0.111944624860386,0.310599708927513,0.384555615967383,31.1471954709297,11.405077158203,17.4181736183691,6.89191467543008,1.7206560374486,2.29464101798504,0.271617541361011,0.948974417063054,0.838699681327722,59.1861908599389,0.000106872012051287,0.00016880763322575,-0.000718718655059634,-0.00982466679022635,-0.0394448972189228,0.0051549540740544
Q5_gyro_all_x10,"Q Case 5: 자이로 Q 전체 ×10",fixed_no_clamp,1.6424474643892,1.89081411740769,1.58490061420734,0.363596007621228,0.260811791939029,0.0724590530712694,0.208619463498263,0.228210308495412,9.04230762348,3.89678592799415,9.937959110416,8.44295831975121,0.84530215695707,0.754747485480121,0.221818419577661,0.650379317810546,0.481614805435158,20.6829344583749,8.38175970408011e-05,0.000173193513802092,-0.000807280808917171,-0.0217681170958381,-0.0267941537096978,0.00491877456386449
Q6_gyro_all_x0p1,"Q Case 6: 자이로 Q 전체 ×0.1",fixed_no_clamp,12.4391363771687,5.64389724775882,1.55522626480999,2.10956586442544,0.902352959085036,0.0617524897781435,0.618737466590972,1.26650756112877,88.891540928498,31.3653770719369,12.4886012986946,8.4419358842727,5.05171551286699,2.09518160751622,0.221381863529473,1.61282367001079,3.05812818502022,179.99932562811,2.93872608516478e-05,0.000101461133560103,0.00392225788296785,0.0460080318709414,-0.131887355584854,0.00365769302329067
Q7_acc_z_x10,"Q Case 7: Z 가속도 Q ×10",fixed_no_clamp,3.02474645096542,5.60806701072569,1.62085550745464,0.564728665868494,1.00213383729951,0.0771491612026569,0.43238077244907,0.651808589712301,52.1167592606128,6.66494499896993,12.291592398514,8.64940173520609,1.27103277523106,2.19748859373103,0.258556121903307,1.11006455093034,1.4268194287507,102.517427437928,0.000106421242071178,0.000146054634101102,0.000167993161986816,0.00682429751778482,-0.0769196811972869,0.00416443264725741
Q8_gyro_z_x10,"Q Case 8: Z 자이로 Q ×10",fixed_no_clamp,3.01057099454658,5.59426545007885,1.57576711750187,0.561728675224625,0.999922555641234,0.0674346860131378,0.431299158037525,0.649595516643256,51.9686582317933,6.6566858397942,12.2658767349555,8.44228157580893,1.2727207752684,2.19418900029172,0.221498876651748,1.10740862493802,1.42193399403749,102.110634971729,0.000106601656430452,0.000146533084201345,0.00015197508489059,0.00672966542556058,-0.0764305300103591,0.00432135837615817
R_fixed_full_Kgyro_zero,"고정 R + K(13:15,:)=0",fixed_full_clamp,0.361736652463984,1.67590016604524,1.58214020872272,0.0519393245978461,0.0462380733932131,0.0737569726844676,0.135678609829086,0.14378898014939,3.07013562068551,2.54840265134766,10.3762543656095,8.43667606021861,0.190014081121014,0.406573636632904,0.220292694960188,0.383353030953314,0.379183320374708,5.79911930435098,0.000117319216730576,0.000235814063123387,-0.000167770607502803,-0.0360815118570111,-0.0024862124765395,0.00504756071208397
R_adaptive_no_clamp,"Adaptive position R + K 제한 없음",adaptive_no_clamp,3.03876843292758,5.4407229998751,0.596208885190083,0.562938664345547,1.00050908564895,0.0536569812845628,0.432265723902536,0.65109125164096,51.7378924531672,6.74518985778548,12.2635055303428,2.17185988710535,1.26993529818878,2.19352161655546,0.165900084120408,1.10737836507911,1.42460870589726,101.96668829849,0.000107514511012573,0.000146099170003425,0.00011232183686144,0.00707010211354875,-0.0766538232675557,0.00432158506512882
R_adaptive_K15_zero,"Adaptive position R + K(15,:)=0",adaptive_k15,3.67579741406179,2.47810923033247,0.592695111526643,0.677459977903374,0.469141553372089,0.0550654066027573,0.326524167196101,0.456684901997125,13.8113187362047,8.26922733628209,5.43580597813789,2.17188741707662,1.48723626444401,1.042967737999,0.165900084120413,0.888640033788615,0.970596439974511,27.6826976344405,0.000117439674867172,0.000196649553190097,-0.000167770607502803,0.0267201923971183,-0.0409140171713083,0.0053629983830506
